VIN,TRANSACTION_ID,CORRECTION_VERBATIM,CUSTOMER_VERBATIM,REPAIR_DATE,CAUSAL_PART_NM,GLOBAL_LABOR_CODE_DESCRIPTION,PLATFORM,BODY_STYLE,VPPC,PLANT,BUILD_COUNTRY,LAST_KNOWN_DLR_NAME,LAST_KNOWN_DLR_CITY,REPAIRING_DEALER_CODE,DEALER_NAME,REPAIR_DLR_CITY,STATE,DEALER_REGION,REPAIR_DLR_POSTAL_CD,REPAIR_AGE,KM,COMPLAINT_CD_CSI,COMPLAINT_CD,VEH_TEST_GRP,COUNTRY_SALE_ISO,ORD_SELLING_SRC_CD,OPTN_FAMLY_CERTIFICATION,OPTF_FAMLY_EMISSIOF_SYSTEM,GLOBAL_LABOR_CODE,TRANSACTION_CATEGORY,REPORTING_COST,TOTALCOST,LBRCOST,ENGINE,ENGINE_DESC,TRANSMISSION,TRANSMISSION_DESC,ENGINE_SOURCE_PLANT,ENGINE_TRACE_NBR,TRANSMISSION_SOURCE_PLANT,TRANSMISSION_TRACE_NBR,SRC_TXN_ID,SRC_VER_NBR,TRANSACTION_CNTR,MEDIA_FLAG,VIN_MODL_DESGTR,LINE_SERIES,LAST_KNOWN_DELVRY_TYPE_CD,NON_CAUSAL_PART_QTY,SALES_REGION_CODE,tag_heating_issue,tag_electrical_issue,tag_cosmetic_issue,tag_safety_system_issue,tag_software_issue,tag_mechanical_issue,tag_material_failure
3Hcfdde89Sh220903,13021,Replaced Steering Wheel Now Okay,Steering Wheel Coming Apart,2024-01-02,Wheel Asm-Strg *Jet Black,Steering Wheel Replacement,Full-Size Trucks,Crew Cab,T1Ccf,Sil,Mx,Silverstone Motors,St Johns,13-13992/309484,Apex Auto Sales,St Johns,Mi,1,488799101,6,8872,0,0-0310,T03.0354,Us,13,Fe9,Ftb,130,Freg,370.03,370.03,61.46,Lz0,"Diesel, 6 Cyl, 3.0L, Cri, L6, Dohc, Turbo, Vgt, Alum, Css50V, Var. 2",Mqc,"Byt 10 Spd, 10L80, Atss, Etrs, Cpa, Gen 2",70628511,V2210281Mftx0488,287827.0,S2210121Cnjx0941,2808908219,6,1,N,Cf10543,1500,21.0,0,1,0,0,0,0,0,0,1
1Hrffee8Xsz230636,13028,"Checked - Found Dtc'S U0229 - U1530 Set In Bcm. Found Pip5883J, Verifi Ed Rpo Options. Tested Per Si - Was Inconclusive.Testedperwiring Sc Hematic - All Circuits Tested Ok. Looks Like Faulty Heated S-W Module. Ordered New Module 9-26-23.1-2, Replacedheated S-W Module.",Customer States Heated Steering Wheel Inop,2024-01-03,Module Asm-Strg Whl Ht Cont,Heated Steering Wheel Module Replacement,Full-Size Trucks,Crew Cab,T1Cgf,Ftw,Us,Elite Auto Group,Fishers,13-14819/243038,Silverpeak Motors,Grand Rapids,Mn,1,557444215,5,16346,0,0-0310,T03.0354,Us,48,Fe9,Ftb,2400,Freg,307.32,307.32,291.14,Lz0,"Diesel, 6 Cyl, 3.0L, Cri, L6, Dohc, Turbo, Vgt, Alum, Css50V, Var. 2",Mqc,"Byt 10 Spd, 10L80, Atss, Etrs, Cpa, Gen 2",70628511,V2210291Mftx0188,17749294.0,R2210881Cnjx0287,2808841910,6,1,Y,Tf10543,1500,10.0,0,1,1,1,0,0,0,0,0
1Hyksmrk6Sz000990,13035,"Approved 4.9(Olh) For Added Diagnostics With Tcsc To Figure Out And Co Mplete Programming While Replacing The Steering Wheelassembly. Rob W. 1-2-24 3-31Pm Olh For Open Tac Case, Contact Tcsc Case # 9-1156925877 4 Multiple Times And Completed Drive Motorsoftware Update Programming . Performed System Check As Per Customers Concern, Steering Wheel Comi Ng Apart. Contacted Tac Case#9-11503916151 "" Please Be Aware If A Dea Ler Receives A Replacement Super Cruise Steering Wheel Part Number 850 13816. Onceinstalled They Will Need To Contact Tcsc And Request This Below. Applies To 2023 And 2024. Order And Replaced Steering Wheel, Contacted Tcsc Many Times And Also Get Assistance From Fse Bill M. To Co Mpleted Programming. Per Tcsc Programmed Drive Motor Controlmodule 1 Wcc-Fdyz196959052 Prog, Set Up Wcc-0Syy196956992. After Programming Co Mpleted Performed A Drive Cycle And Check Steeringwheel Operation, Op Erating Normally At This Time. Mileage In 5522, Mileage Out 5532. Char Ge Vehicle Soon!!!",Owner Reports: The Super Cruise Bar On The Steering Wheel Is Coming Of F. Check And Advise. Advisor Running Pra Tool.,2024-01-04,Wheel Asm-Strg *Backen Blackk,Steering Wheel Replacement,Bev,4 Door Utility,L233-Lsop,Sht,Us,Crossroads Dealership,San Diego,11-46466/119152,Quantum Car Traders,San Diego,Ca,1,921083521,9,8887,0,0-0310,T00.0006,Us,12,Yf5,Ff6,130,Freg,2457.45,3205.45,1012.67,En0,None,Mf1,None,Unknown,Unknown,8042172.0,Unknown,2809979441,4,1,Y,6Mb26,Lux-1,10.0,0,1,0,1,0,1,1,0,0
3Hcfdfel3Sh241701,13021,Steering Wheel Replacement,Customer States The Lettering And Finish On The Steering Wheel Is Coming Off. Plant: Sil,2024-01-04,Wheel Asm-Strg *Jet Black,Steering Wheel Replacement,Full-Size Trucks,Crew Cab,T1Ccf,Unknown,Mx,Westwood Wheels,Milwaukee,13-47099/113361,Summit Drive Auto,Slinger,Wi,1,530869027,10,15500,0,0-0890,T06.2375,Us,13,Fe9,Ftb,130,Freg,445.28,445.28,63.18,L87,"Gas, 8 Cyl, V8, 6.2L, Di, Dfm, Alum, Gen 5",Mhs,"Byt 10 Spd, 10L80, Grx, Gen 1, Atss, Etrs, Var 1",830107152,N2210821Mfyx0482,287827.0,S1210822Ckjx0291,2808892288,6,1,Y,Cf10543,1500,10.0,0,1,0,0,1,0,0,0,0
1Hrffhel1Rz181474,13021,Replaced Steering Message No Longer Displayed,C/S: Customer States The Service Driver Assist System Message Is On. A Dvise,2024-01-05,Wheel Asm-Strg *Jet Black,Steering Wheel Replacement,Full-Size Trucks,Crew Cab,T1Cgf,Ftw,Us,Luxeauto Sales,Kellogg,11-47556/116725,Horizon Motors,Liberty Lake,Wa,1,990197623,0,8,0,0-0621,T06.2375,Us,48,Ne1,Fuc,130,Freg,1439.65,1439.65,136.0,L87,"Gas, 8 Cyl, V8, 6.2L, Di, Dfm, Alum, Gen 5",Mhs,"Byt 10 Spd, 10L80, Grx, Gen 1, Atss, Etrs, Var 1",830107152,N2212994Mgpx0790,17749294.0,R2212982Ckjx0282,2808901882,8,1,N,Tf10543,1500,10.0,0,1,0,0,0,1,0,0,0
3Hrffhed7Rh167541,13026,Remove And Replace Steering Wheel Wire Harness,Horn And Steering Wheel Switches Are Inoperable,2024-01-05,Harness Asm-Strg Whl Horn Sw Wrg,Steering Wheel Horn Switch Wiring Harness Replacement,Full-Size Trucks,Crew Cab,T1Cgf,Sil,Mx,Horizon Motors,Omaha,13-05637/165732,Prestige Wheels,Columbus,Ne,1,686012808,0,14,0,0-0890,T05.3330,Us,48,Fe9,Ftb,20,Freg,216.75,216.75,139.84,L84,"Gas, 8 Cyl, 5.3L, V8, Di, Dfm, Alum, Gen 5",Mhs,"Byt 10 Spd, 10L80, Grx, Gen 1, Atss, Etrs, Var 1",812040194,A2212084Mgsx0089,287827.0,S2212992Ckjx2842,2809498122,6,1,N,Tf10543,1500,16.0,0,1,1,1,0,1,0,0,0
1Hrffhel4Rz149960,13071,"Accessed, Removed And Replaced The Drivers Assistance Systems Module. Accessed The Diagnosticportandreprogrammedthesystemcalibration Using The Mdi-2 With A Warranty Claim Programming Code Of Fdyz197418154. Road Testedthevehicletoverifyrepairs. Thesystem Is Now Operating As Designed.",Cust. States Drivers Assist Light Comes On Dash -Super Cruise/Lane Departure Works Intermittently-Was Diag. Forasteeringwheelmodule.,2024-01-05,Wheel Asm-Strg *Jet Black,Steering Wheel Replacement,Full-Size Trucks,Crew Cab,T1Cgf,Ftw,Us,Apex Vehicle Sales,Smithtown,13-02278/273131,Urbanedge Auto,Bay Shore,Ny,1,117061211,2,856,0,0-0621,T06.2375,Us,48,Ne1,Fuc,130,Freg,1488.94,1488.94,150.03,L87,"Gas, 8 Cyl, V8, 6.2L, Di, Dfm, Alum, Gen 5",Mhs,"Byt 10 Spd, 10L80, Grx, Gen 1, Atss, Etrs, Var 1",830107152,N2212914Mgpx0299,17749294.0,R2212922Ckjx0928,2809208122,24,1,Y,Tf10543,1500,10.0,0,1,0,1,0,1,1,0,0
3Hcfdfed4Sh352945,13021,Replaced Steering Wheel,Special Order Part [ Steering Wheel Heated Steering Wheel Not Working ],2024-01-05,Wheel Asm-Strg *Jet Black,Steering Wheel Replacement,Full-Size Trucks,Crew Cab,T1Ccf,Sil,Mx,Diamond Drive,Saint Clairsville,13-13858/113450,Diamond Auto Traders,Saint Clairsville,Oh,1,439508512,3,4065,0,0-0310,T05.3386,Us,13,Ne1,Fuc,130,Freg,427.08,427.08,57.61,L84,"Gas, 8 Cyl, 5.3L, V8, Di, Dfm, Alum, Gen 5",Mhs,"Byt 10 Spd, 10L80, Grx, Gen 1, Atss, Etrs, Var 1",812040194,A2212881Mf1X2422,287827.0,S1212982Ckjx2188,2808882287,4,1,N,Cf10543,1500,15.0,0,1,1,0,0,0,0,0,0
1Hrf9Ced6Nz221061,13021,Technician Found The Steering Column Plastic Trim Was Not Aligned Properly Adjusted Trim And Found The Customer Concern Is Nolonger Present,Customer States Steering Wheel Is Making A Rubbing Noise When Turing The Wheel Left And Right,2024-01-08,Unknown,Steering Wheel Spoke Cover Replacement,Full-Size Trucks,Crew Cab,T1Cgf,Ftw,Us,Summit Auto Traders,Madison,13-28387/166196,Legacy Car Sales,Madison,Oh,1,440572570,21,31611,0,0-0313,T05.3386,Us,48,Fe9,Ftb,50,Freg,27.69,27.69,27.69,L84,"Gas, 8 Cyl, 5.3L, V8, Di, Dfm, Alum, Gen 5",Mqb,"Byt 10 Spd, 10L80, Atss, Cpa, Gen 2",2127157,T1220882Jw9X2294,17749294.0,R2220422Xkjx0272,2808998129,2,1,N,Tf18543,1500,16.0,0,1,0,0,0,0,0,1,0
1Hrffhel8Rz133325,13074,Steering Wheel Replacement,Customer States That They Are Getting A Message On The Dash Saying Driver Assist Message. Check And Advise,2024-01-09,Wheel Asm-Strg *Very Dark At,Steering Wheel Replacement,Full-Size Trucks,Crew Cab,T1Cgf,Ftw,Us,Truevalue Motors,Belleville,11-40119/299131,Primedrive Motors,Belleville,Il,1,622263101,4,8304,0,0-0621,T06.2375,Us,48,Fe9,Ftb,130,Freg,1147.09,1147.09,146.06,L87,"Gas, 8 Cyl, V8, 6.2L, Di, Dfm, Alum, Gen 5",Mhs,"Byt 10 Spd, 10L80, Grx, Gen 1, Atss, Etrs, Var 1",830107152,N2212294Mgpx0128,17749294.0,R2212112Ckjx2084,2821988724,4,1,Y,Tf10543,1500,10.0,1,1,0,0,0,1,0,0,0
